name,ratings,no_of_ratings,discount_price,actual_price
Two Moustaches Shankh Chakra Namah Design Brass Diya Over Carved Legs,4.4,617,1795,2990
"Thenkumari® Eco Friendly Eucalyptus Wooden Veena Home Decor Showpiece (9 cm x 9 cm x 27 cm, Brown) Decorative Showpiece - ...",4.1,146,299,1999
Newzenx® Glass Oil Burner Honey/Meth Crystal Bong 3 Inch Included Velvet Pouch & Accessories,1,1,299,999
Rangoli Large Modern Art Wall Sticker Mullticolor Vinyl Sticker 40cm or 50 cm Pack of 1,3.8,16,89,799
SAF Set of 3 Hexagon Pretty Flower MDF Board UV Textured Painting 17 Inch X 17 Inch SANFHXS30620,4,808,199,999
"Art Street Synthetic Brown Wall Photo Frame (Picture Size 10 inches X 12 inches, Matted to 8 x 10 Inches),Polyresin",3.7,471,329,599
"TIED RIBBONS Polyresin Buddha Monk Showpiece, Multicolor, 4 Piece",4.3,507,349,799
"Presta Gifts MDF Wooden Foodie Funny Fridge Magnet for Home and Kitchen Decoration (Multicolour, 3x2 Inches) - Set of 4 De...",4.4,301,249,800
Generic Leemzon Plastic Round Magic Mirror Tabletop Photo Frame (White)(Framed ),3.9,228,339,599
Chalk My Theme Welcome To Our Home Wooden Wall Hanging For Home Decoration | Home Décor Item For Door and Wall,3,2,599,1299
"SAPPHIRE INDIA Digital Table Alarm Clock - Bedside Smart Desk Timepiece for Heavy Sleepers Students, Loud Study Table Watc...",3.5,234,449,1599
Loop Group ® Female Mannequin - Female Mannequin with Metal Base Plate Mannequin Premium Store Display Dummy Mannequin Dum...,3,64,3579,20200
"Asian Hobby Crafts Artificial Birds Pack of 12, DIY Birds Garden Decoration Birds and Crafts, Home Decorations, School Mod...",3.7,262,199,350
"Cycle Pure Woods Natural Agarbatti with Woody, Sandal-Amber Fragrance, Long-Lasting Incense Sticks for Divine & Special Pu...",4.4,2364,950,1000
"Amazon Brand - Solimo 12-inch Plastic & Glass Wall Clock - Woode Block (Silent Movement, Black Frame)",4.2,642,492.29,1100
X4cart USB Plug in 3 Colour Modes and Adjustable Brightness Dimmable Rectangular LED Bulbs without Mirror for Dressing Roo...,3.4,124,779,1999
"AROMATIKA Palo Santo Holy Wood, for Purifying, Cleansing, Healing, Meditating, Stress Relief. Natural and Sustainable, Wil...",4,117,449,699
"RIZIK STORE™ Metal Abstract Figures handcrafted Wall Sculpture wall art multicolor for Home Decoration, Living room, drwai...",3.9,10,2599,6999
"Aradhyam Pooja Premium Dhoop Sticks (Pack of 150 Dhoop Sticks , Weight -600 grms)(No Bamboo| No Charcoal) (Pavitra Kapoor ...",4.9,31,449,600
"JAIPUR ACE Meditating Buddha Statue Polyresin Buddha Idol Showpiece - Perfect for Living Room, Bedroom & Office Space - Ho...",4.1,297,399,699
